incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0x5ef20dda8145f8057613e85b5ed2391a5f2d677ef3794a2216ab67054c3aa5ff,12785036,1625724628,0xf49ab880ef8703ca0d6281eec7dde765b7411fa7,0x56eb4a5f64fa21e13548b95109f42fa08a644628,44823751184101828,21000,33000000000,21000,0x,,,,,,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0x8d557acc330b9c7ca438b7b65fa86e023f8b9c5902076be3c6401035609bc641,12785070,1625725117,0x56eb4a5f64fa21e13548b95109f42fa08a644628,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,129049691184101828,94491,25000001459,77257,0x4faa8a26,depositEtherFor(address _to),,,,,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0x7322ebb24707b40ac9c5ae9694d799ab39583456428c81e02a3d8bbabf6be03a,13184234,1631092178,0x0a301bdf8c02d19d8204712d9ef10fa38c6109e7,0x56eb4a5f64fa21e13548b95109f42fa08a644628,10885404307364545,21000,84081000311,21000,0x,,,,,,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0x046fe58cebd1d150b2a3ccb4e0755e7f1bc254e8e0c49bb1d35376d88b29ce05,13186977,1631128529,0x9696f59e4d72e237be84ffd425dcad154bf96976,0x56eb4a5f64fa21e13548b95109f42fa08a644628,686158310000000000,207128,237000000000,21000,0x,,,,,,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0x388c4975c1c709198cdb14aa4d2ce80e48dba0945230bbd2239680a42757bbf4,13200104,1631304682,0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x56eb4a5f64fa21e13548b95109f42fa08a644628,0,21000,119819708184,21000,0x,,,,,,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0x0ae1fd84c3cb257b75e5a4b05bd0d3ff515de9b55a6b765841af0714a14e14f0,13200116,1631304893,0x56eb4a5f64fa21e13548b95109f42fa08a644628,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,0,373162,188558102285,231307,0x3805550f,exit(bytes inputData),,,,,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0xcc61985a0f6039f21ccd34ea17eac8a36ef7a518fa0e04400b009568500d08a1,13200581,1631311197,0x56eb4a5f64fa21e13548b95109f42fa08a644628,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,0,380397,122703939374,236130,0x3805550f,exit(bytes inputData),,,,,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0xd9cf15c9b2f9c3d4762156d44d56b01728e8bd4cfb7047888afe629b5198135d,13200586,1631311280,0x56eb4a5f64fa21e13548b95109f42fa08a644628,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,0,401554,186400508326,251995,0x3805550f,exit(bytes inputData),,,,,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0x263aab85319d77ed8e7b154504290030f7451f71e74bd5e8223b2bcd0f814f85,13200597,1631311387,0x56eb4a5f64fa21e13548b95109f42fa08a644628,0xe592427a0aece92de3edee1f18e0157c05861564,0,400088,183990847429,323364,0xac9650d8,multicall(bytes[] data),,,,,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0x492fd40188bb3db402c0337faab9d7d7ce78c48ff425d9c547db02503ac0244a,13200777,1631313649,0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,100000000000000000000,1018546,71804571108,968546,0x13d98d13,"deposit(address _tornado, bytes32 _commitment, bytes _encryptedNote)",,,,,
AFKSystem,0x56eb4a5f64fa21e13548b95109f42fa08a644628,normal,0xaba4796204387464f59906341abfb2cc95e1873fd60703c718cc42526cf0f15a,13200785,1631313730,0x56eb4a5f64fa21e13548b95109f42fa08a644628,0x722122df12d4e14e13ac3b6895a86e84145b6967,100000000000000000000,1023754,68074010572,973754,0x13d98d13,"deposit(address _tornado, bytes32 _commitment, bytes _encryptedNote)",,,,,
