incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
Akropolis_1,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,normal,0x431af3fbce70dbc880f24d62f5dcecea7fa79becf16495563c7cbd283ca8a853,11242622,1605181664,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,,100000000000000000,3000000,51000000000,1846144,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",,,,,
Akropolis_1,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,normal,0x4ec646d40205bb9caf92f86da911350abd764de51e154fce2771ea431020091c,11242624,1605181702,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,0xe2307837524db8961c4541f943598654240bd62f,0,10000000,51000000000,8369659,0x0dbe671f,a(),,,,,
Akropolis_1,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,normal,0xd143af3180c4e0ca060394bfb0e5ea3070246aed98e25dd1681a6a1c76b683d0,11242625,1605181715,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,0xe2307837524db8961c4541f943598654240bd62f,0,5000000,51000000000,1954348,0x4df7e3d0,b(),,,,,
Akropolis_1,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,normal,0x924017c6770ced6242f50ee779213ecdb384c6edb874a52e1eaa08fc68d59489,11242626,1605181716,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,0xe2307837524db8961c4541f943598654240bd62f,0,6000000,201000000000,5709709,0x02908e5f,,,,,,
Akropolis_1,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,normal,0xddf8c15880a20efa0f3964207d345ff71fbb9400032b5d33b9346876bd131dc2,11242635,1605181841,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,0xe2307837524db8961c4541f943598654240bd62f,0,12000000,201000000000,5523632,0x02908e5f,,,,,,
Akropolis_1,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,normal,0x26f545bc1ccb9b58f24d7523e0b420a49a819d9a3acf91760e51bb3705eb8527,11242637,1605181851,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,0xe2307837524db8961c4541f943598654240bd62f,0,200000,101000000000,139631,0x6c8ae38c,r(),,,,,
Akropolis_1,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,normal,0x270836213a621d9f43159439065ddeb54cb9a69fec07fbb63d7f22edd9be5103,11242640,1605181868,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,0xe2307837524db8961c4541f943598654240bd62f,0,10000000,101000000000,8039241,0x02908e5f,,,,,,
Akropolis_1,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,normal,0x2f06589d9e6176a8ed3a00931600ce728d54b28745fff04ee6d116418707eff7,11242641,1605181880,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,0xe2307837524db8961c4541f943598654240bd62f,0,10000000,101000000000,8030841,0x02908e5f,,,,,,
Akropolis_1,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,normal,0xea0ae3796592b3f8fdd6c60756e624bc8b93546cd819ff2742d16730d3f21870,11242654,1605182058,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,0xe2307837524db8961c4541f943598654240bd62f,0,10000000,101000000000,8030841,0x02908e5f,,,,,,
Akropolis_1,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,normal,0xcfd7885891c6e221021e1b0efde837c5cbc12ddca0018beee6729c611a723b99,11242656,1605182156,0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,0xe2307837524db8961c4541f943598654240bd62f,0,10000000,101000000000,8030841,0x02908e5f,,,,,,
