incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x2b419173c1f116e94e43afed15a46e3b3a109e118aba166fcca0ba583f686d23,11846490,1613194635,0x905315602ed9a854e325f692ff82f58799beab57,,0,4389093,123000000000,4389093,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x282be26ee4154603cc8f824ce4ace2e0fca850962394c153178a54d6ca5f6deb,11846504,1613194824,0x905315602ed9a854e325f692ff82f58799beab57,0x560a8e3b79d23b0a525e15c6f3486c6a293ddad2,1500000000000000000,1293094,128920000000,1286165,0x88bf5a9b,getColl(),,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x4441eefe434fbef9d9b3acb169e35eb7b3958763b74c5617b39034decd4dd3ad,11846579,1613195981,0x905315602ed9a854e325f692ff82f58799beab57,0x560a8e3b79d23b0a525e15c6f3486c6a293ddad2,1500000000000000000,1505110,125000000000,1198769,0x88bf5a9b,getColl(),,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xcc57ac77dc3953de7832162ea4cd925970e064ead3f6861ee40076aca8e7e571,11846605,1613196272,0x905315602ed9a854e325f692ff82f58799beab57,0x5f5cd91070960d13ee549c9cc47e7a4cd00457bb,0,1476660,200000000000,1051057,0x710a9f68,"execute(uint256 _value, address _to, bytes _data)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xf31ee9d9e83db3592601b854fe4f8b872cecd0ea2a3247c475eea8062a20dd41,11846608,1613196357,0x905315602ed9a854e325f692ff82f58799beab57,0x5f5cd91070960d13ee549c9cc47e7a4cd00457bb,0,794084,200000000000,535192,0x710a9f68,"execute(uint256 _value, address _to, bytes _data)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x98f623af655f1e27e1c04ffe0bc8c9bbdb35d39999913bedfe712d4058c67c0e,11846612,1613196415,0x905315602ed9a854e325f692ff82f58799beab57,0x5f5cd91070960d13ee549c9cc47e7a4cd00457bb,0,802835,200000000000,520711,0xcd607941,resolveReserve(address token),,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x2e387620bb31c067efc878346742637d650843210596e770d4e2d601de5409e3,11846618,1613196482,0x905315602ed9a854e325f692ff82f58799beab57,0x5f5cd91070960d13ee549c9cc47e7a4cd00457bb,0,9748119,200000000000,7979142,0x710a9f68,"execute(uint256 _value, address _to, bytes _data)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x64de824a7aa339ff41b1487194ca634a9ce35a32c65f4e78eb3893cc183532a4,11846623,1613196556,0x905315602ed9a854e325f692ff82f58799beab57,0x5f5cd91070960d13ee549c9cc47e7a4cd00457bb,0,6569071,200000000000,5106396,0x710a9f68,"execute(uint256 _value, address _to, bytes _data)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x7eb2436eedd39c8865fcc1e51ae4a245e89765f4c64a13200c623f676b3912f9,11846627,1613196607,0x905315602ed9a854e325f692ff82f58799beab57,0x5f5cd91070960d13ee549c9cc47e7a4cd00457bb,0,7955177,200000000000,6094408,0x710a9f68,"execute(uint256 _value, address _to, bytes _data)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xd7a91172c3fd09acb75a9447189e1178ae70517698f249b84062681f43f0e26e,11846631,1613196721,0x905315602ed9a854e325f692ff82f58799beab57,0x5f5cd91070960d13ee549c9cc47e7a4cd00457bb,0,6448569,200000000000,4727817,0x710a9f68,"execute(uint256 _value, address _to, bytes _data)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xacec6ddb7db4baa66c0fb6289c25a833d93d2d9eb4fbe9a8d8495e5bfa24ba57,11846641,1613196855,0x905315602ed9a854e325f692ff82f58799beab57,0x5f5cd91070960d13ee549c9cc47e7a4cd00457bb,0,3328228,200000000000,1960312,0x710a9f68,"execute(uint256 _value, address _to, bytes _data)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x745ddedf268f60ea4a038991d46b33b7a1d4e5a9ff2767cdba2d3af69f43eb1b,11846647,1613196928,0x905315602ed9a854e325f692ff82f58799beab57,0x560a8e3b79d23b0a525e15c6f3486c6a293ddad2,0,3958820,250000000000,2706980,0xc2808ed1,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x854ee858050a21dccfca4420496d5be93762d3f612227d5169cd557e9dbfcdf5,11846657,1613197102,0x905315602ed9a854e325f692ff82f58799beab57,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,0,100000,172000000000,44114,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xc60bc6ab561af2a19ebc9e57b44b21774e489bb07f75cb367d69841b372fe896,11846662,1613197152,0x905315602ed9a854e325f692ff82f58799beab57,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0,500000,174000000000,223934,0xb6b55f25,deposit(uint256 vowID),,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xedb3976c96c157ff3b9c95ac041c0f6569b1c2dd769613fa625b8a85679bb054,11846666,1613197206,0x905315602ed9a854e325f692ff82f58799beab57,0xd662908ada2ea1916b3318327a97eb18ad588b5d,0,500000,150000000000,199542,0xb6b55f25,deposit(uint256 vowID),,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x70e426e3f7e655f4ea7257ae7832a29f2a1ae9af408f0586b7a9903c550f8dcb,11846673,1613197293,0x905315602ed9a854e325f692ff82f58799beab57,0x905b63fff465b9ffbf41dea908ceb12478ec7601,100000000000000000000,1200000,200000000000,1013080,0x13d98d13,"deposit(address _tornado, bytes32 _commitment, bytes _encryptedNote)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x6e741a8a49d6284b88921c3a6921b04639ee6278b8c45b911657e3dfbfed88d5,11846681,1613197400,0x905315602ed9a854e325f692ff82f58799beab57,0x905b63fff465b9ffbf41dea908ceb12478ec7601,10000000000000000000,1200000,230000000000,995356,0x13d98d13,"deposit(address _tornado, bytes32 _commitment, bytes _encryptedNote)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x1ee724adbab474c0eb352cfbad7982afac605bf4979ab90095775b8b0d57ad74,11846692,1613197507,0x905315602ed9a854e325f692ff82f58799beab57,0xdd4c48c0b24039969fc16d1cdf626eab821d3384,100000000000000000000,33760,200000000000,22507,0x,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x92aaf8dd8500f333d15a1d1e43d495edddeca1d785499f1d0a604c0f296dd3e5,11846705,1613197654,0x905315602ed9a854e325f692ff82f58799beab57,0x905b63fff465b9ffbf41dea908ceb12478ec7601,10000000000000000000,1200000,230000000000,989448,0x13d98d13,"deposit(address _tornado, bytes32 _commitment, bytes _encryptedNote)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x10d974ad608ea310a179cff2336ddddac980c83f62247c25db92f3b314765b0c,11846705,1613197654,0x905315602ed9a854e325f692ff82f58799beab57,0xb593d82d53e2c187dc49673709a6e9f806cdc835,1000000000000000000000,21000,250000000000,21000,0x,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x9cf0e0ff3857dfbc0ef36114190e8cd07b95d5bb2c9a8754e802d029325827c4,11846707,1613197736,0x905315602ed9a854e325f692ff82f58799beab57,0x197939c1ca20c2b506d6811d8b6cdb3394471074,1000000000000000000000,21000,230000000000,21000,0x,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xdec4381873cdfda3caf3f8f1f6a4b866c2e35fa0e6d243500aad6b12ab55f513,11846713,1613197804,0x905315602ed9a854e325f692ff82f58799beab57,0x905b63fff465b9ffbf41dea908ceb12478ec7601,100000000000000000000,1200000,250000000000,1001264,0x13d98d13,"deposit(address _tornado, bytes32 _commitment, bytes _encryptedNote)",,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x48c7542af681a353a3f4781bd0710aa3861219d91ef700d19bcfb9ab5d38aeae,11847440,1613208094,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,162000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x070a9af0b756d14731727fc291e57d3f4276ff29ffa5b9a85f6e805b460fdb48,11847446,1613208196,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,153000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xf717bb7e5db34fb6f9833a618aab65bf6fe54d2959dfbca45bd4e8ca36cb95c6,11847448,1613208214,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,157000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x01d5f3ec303da95966c86fc7baaac418dd36da8e2d378a7921fb94369bbe24a2,11847451,1613208254,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,154000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x25d564d5fee980c28bc011d5ed2e78e535df2844d1d745d2355ddc840ad0c31c,11847454,1613208316,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,153000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x12d4a77aa825af489fe34fb3065d32ac83aa5e4988200a5e792caf59bfc3de15,11847454,1613208316,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,152000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x801299f57fe15645eaa4a8f94fd1296d8811d78d9939b6615574882089063ec7,11847459,1613208345,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,149000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xb0f9622368b14837e5bfa0e7f17bf8f4e1806aa95c0d92fcc7471f5731fc6776,11847461,1613208368,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,153000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xc8554827f2fa8b4aa9654738b7827fe18708d20aecb4385a754638665c78a694,11847467,1613208452,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,159000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xa021b9ec39edd6070f5568b7a0a97b60fadeb18e8c02a9625f9f7aba511e429f,11847470,1613208468,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,162000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x0bfc9d501a03adb1e7c4f74e362c309d316015555ac3938a861d79d78144ae21,11847471,1613208482,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,159000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x09de7e3184206746192a69c5471a5b2811e0d8f0962917e903e85d0dd095bc91,11847472,1613208512,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,158000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x6b994017f8ec8ea6c3f532362cfb01e7810cb8392b693da7caf1670a6c27dd0b,11847476,1613208597,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,162000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x4db9a3f60e9bf557dc1c971517ad090be821ae567917a89a1067058000f84d97,11847476,1613208597,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,21000,159000000000,21000,0x,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x53e2c464a1fd35cafd64c23638b592ec55600fdbe441d62a0e842f646d0c8f8f,11847487,1613208685,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,183000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0xc7fb429589a3b45fc98fb7c39febac671cceaac371c35cbb888c1a1d802d8d3f,11847493,1613208780,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,183000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x39cf571650d8229ece34fe502a322a1df2bf2bdc9ff7bdb6bde18afccf275d89,11847494,1613208804,0x4b3ab718860708e86f18c78cf714b38a80d7e54e,0x905315602ed9a854e325f692ff82f58799beab57,0,25784,164000000000,25784,0x70656e69,,,,,,
Alpha_Homora_V2,0x905315602ed9a854e325f692ff82f58799beab57,normal,0x471a2b31a96f784c12c1bc5681cc0f6a48f629ed0db7ec440e43c90f2d283091,12752540,1625286831,0x905315602ed9a854e325f692ff82f58799beab57,0xa160cdab225685da1d56aa342ad8841c3b53f291,100000000000000000000,1200000,7000000000,921403,0xb214faa5,deposit(bytes32 _id),,,,,
