incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
BadgerDAO,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,normal,0x5bad936ed37aa5c8ee8a7c7ae69b28b822be05c334d4f2aa3b9059151e7800b6,13651274,1637402785,0x3956396472c96e04925b7a416f0996ce5ed30645,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,41149441378804059,21000,78316411352,21000,0x,,,,,,
BadgerDAO,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,normal,0xdbe8f6151b11c33837d2001231cb3cb140e28b81b370d874ffa946f2e80826d6,13651282,1637402915,0x8de15e9c691697c2f0aa59e66fd22777c42b3c3e,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,29550908015353883,21000,84684355488,21000,0x,,,,,,
BadgerDAO,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,normal,0xa1968387d4b177fe700cde4cd5eea54734bea8e0708b569ed1a8ec5cfa46675c,13651290,1637403070,0x6f6ac95a69ba66a08108733917d7baefaca40e4b,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,223277474213375032,21000,93389919144,21000,0x,,,,,,
BadgerDAO,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,normal,0x8a616cc825f55735228d7dce3c22462ece6d4b515aca097d495b85907e54fdb5,13651305,1637403342,0x015474ff43041b8bf3ecd70a3f73ee44a0e68c82,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,51399372214586000,21000,98911882450,21000,0x,,,,,,
BadgerDAO,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,normal,0xccc9ea1cbe146e274aff202722307b1443b781af67363bf2f256e0cc39cc1d0a,13657921,1637494350,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,0x6def55d2e18486b9ddfaa075bc4e4ee0b28c1545,0,104521,73526006424,69094,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)",,,,,
BadgerDAO,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,normal,0x42d5f76bf802e27492ba44c6e1393b2eca65e8d5a02f42589cfbe949b82fd5f4,13702030,1638097473,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,0x49849c98ae39fff122806c06791fa73784fb3675,0,100000,98312802108,54039,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)",,,,,
BadgerDAO,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,normal,0x951babdddbfbbba81bbbb7991a959d9815e80cc5d9418d10e692f41541029869,13724086,1638403223,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,0x4b92d19c11435614cd49af1b589001b7c08cd4d5,0,101349,148364512197,62208,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)",,,,,
BadgerDAO,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,normal,0x74df86ef78120ee954bd8a321d1680090de81346c40c9f859508b6eae006911d,13724213,1638404873,0xa0d34572fb3be1bca9f36b5d41e86c135e580553,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,8000000000000000000,21000,115617506145,21000,0x,,,,,,
BadgerDAO,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,normal,0xcc0903051732b6e92b439fff681e09d04a91b747ef7230d191cad02c0df9bf6e,13724314,1638406105,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,0xae96ff08771a109dc6650a1bdca62f2d558e40af,0,100000,97340850524,66392,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)",,,,,
BadgerDAO,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,normal,0x2b3a0e24b59daef540f5ff579422bd8f66f748b2b85613e2592ff56ce82010f2,13724445,1638407914,0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,0xae96ff08771a109dc6650a1bdca62f2d558e40af,0,100000,203172787042,66392,0x23b872dd,"transferFrom(address _from, address _to, uint256 _value)",,,,,
