incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0xf865865dc8eeb1142def1e2c392161a11b11a85519705ca13a26890465962b25,12825550,1626271478,0x47664fa285ab01414d1c3714e6f7fe27c40591d7,0xc433d50dd0614c81ee314289ec82aa63710d25e8,10948806000000000000,21000,54000000000,21000,0x,,,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0xf980b045c74335b524c287106e2bcac807105422ef4b7ad5c9d53ce9d9aefaaa,12825584,1626271998,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0xe54bb2ff11e4c5733ed3aad648d562345400209d,500000000000000000,21000,49000000000,21000,0x,,,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x197c97d6070ec987aab9d0d173414adb224437ac929cb2ad02ecea6b5dc35c91,12825590,1626272089,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,100000000000000000,94491,51000000000,77257,0x4faa8a26,depositEtherFor(address _to),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0xc8172c682e7458caff1069274799b1db194b02194c792c2bb2b087be915d3641,12825620,1626272509,0xc433d50dd0614c81ee314289ec82aa63710d25e8,,0,828920,51000000000,828920,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x535cfc0f5f4ef76c0efd226bf9dd8bb010a627cc52af344337b9b3d3053aec0e,12825729,1626273959,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0xe592427a0aece92de3edee1f18e0157c05861564,100000000000000000,310022,49000000000,215423,0xc04b8d59,exactInput(tuple params),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0xa5f6efc42651f222d282fd60074df6f729e27c807d2fc3280f9bb2904c3468dd,12825735,1626274000,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0,48764,49000000000,48764,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x89a9ddf75b8ec2be17da2408889aacd29d2f37e4ad72ee97dda261f2b0f243d1,12825742,1626274074,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x401f6c983ea34274ec46f84d70b31c151321188b,0,161476,49000000000,139127,0x8b9e4f93,"depositERC20ForUser(address _token, address _user, uint256 _amount)",,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0xd63295d0a74e03fcba720d8ee49f769e5c3e40d2055755a0b92091748607f850,12825748,1626274177,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x606246e9ef6c70dcb6cee42136cd06d127e2b7c7,0,149250,47760001742,98554,0xc2998238,enterMarkets(address[] cTokens),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x148e87435fe3719f5f4230011dfa6f0b5522b80f21b0108250a93cc51b1bff0a,12825757,1626274302,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0xd2dda223b2617cb616c1580db421e4cfae6a8a85,0,69912,47000000000,46608,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x46526cbfbb14b0bb914d35d5b0f32b0e40e9783b67c0a000e8431f698924795f,12828270,1626308269,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x53bafba543f8f1283ed5b21cafe7925c367ec3bd,0,290310,36300000000,188631,0xa0712d68,mint(uint256 mintedAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0xb97f6433276156f8c8313b8c47f8b289cf59f2b3837632d5a04a5b0c50c65fe4,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x4f905f75f5576228ed2d0ea508fb0c32a0696090,0,1000000,55000000000,295688,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x4b85cf91c251318f632560dc5a026ff7bd8e114a0a2ee9bb0bb79973977e4c12,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x5b4463bbd7b2e870601e91161e0f1f7f84cde214,0,1000000,55000000000,353794,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x75a08839a205fde66d13685a23278344fe1a16508fd2d6ed868f1bd34c22aa04,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x004c0908518e19aa8b27a55c171564097fa3c354,0,1000000,55000000000,51538,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0xf80b9dc4fb8b385929264032d969b85f97c065525e6b5b7b2e7709204079eb93,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x0968c90198f08b67365840fa37631b29fe2aa9fc,0,1000000,55000000000,411563,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x93d604af2f3d79016c5351f9ed3c9b4c96bf7e377c5553388e21fb1506e1c0ec,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x3bafa9cd93c7bdc07fd9609e95e04a8904eacf7d,0,1000000,55000000000,447646,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0xeb7b2c81fe7cc0d18605650f9e633407302e1c5f37b4a077fb4e7fb38b540a57,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x3f2e9a93428a22d2f4cacc3f184f1aad85054e1c,0,1000000,55000000000,498604,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x3a239a6f445a424a297019b218ce252dea18cce407a8846382e375fa23daf74c,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x66d696474784ded49b5d0a43e50bf59d63402d74,0,1000000,55000000000,543588,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x1fc3a0cdfeecc42520113ad03213dc97ab3ca65baf3c3ca117f44fa6d07cf93c,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x27d15446176b469ee7fbdec1e5a4b506fd77c0cd,0,1000000,55000000000,582842,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x662f27ac5232c48bd9521dfc922d7cf510de71da442b4e31eed23001ab5af874,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0xf76cc2dc02f56b27761dbdb7a62e2b1c4a22afcd,0,1000000,55000000000,639896,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x2d3a7c78d17e64298fd5160781d5f5258cf73eb5553221a1c352917a8b22bf7f,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x57a8cb15e9575bf9bf80f3531183395703912f57,0,1000000,55000000000,855870,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x528642f9374eaa3da13e49144bbbd3fbcb71f98e7ba8b9bdad157c429d10976d,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0x391f902c8979050ba8036e3d61d13d79cf545db8,0,1000000,55000000000,732555,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x52e58880ad8757aba2bf1e2e6e02057262c9452a288a8a338c319ac90c075f53,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0xb3c114d12cc260ff0a07a2cf22a910625367b403,0,1000000,55000000000,771379,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
Bondly_Finance,0xc433d50dd0614c81ee314289ec82aa63710d25e8,normal,0x2045314afcdd922ed279ffef859d09496b389a3d85609cd78f9035f2c94535cc,12828277,1626308351,0xc433d50dd0614c81ee314289ec82aa63710d25e8,0xc4bdaa3b4f2c9a78baa4442cd81874881850ff2e,0,1000000,55000000000,872033,0xc5ebeaec,borrow(uint256 borrowAmount),,,,,
