incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
CashioApp,0x86766247ba3405c5f15f06b895294200809e9cfb,normal,0xae37fa9378f7ba79fceedca1258d2bfe9b243a6c7df9866b203ef2bf665695d0,14409859,1647599122,0x86766247ba3405c5f15f06b895294200809e9cfb,0x6832f92d3648e4a56177e3b0dc2276b99f9de355,10000000000000000,21000,35211382117,21000,0x,,,,,,
CashioApp,0x86766247ba3405c5f15f06b895294200809e9cfb,normal,0x59571df5073d3f63674a77dc3498b1a14c02baea8e62d45274430a42c5ef92d4,14409889,1647599566,0x86766247ba3405c5f15f06b895294200809e9cfb,0x3ee18b2214aff97000d974cf647e7c347e8fa585,10000000000000000,82671,25108502893,81841,0x9981509f,"wrapAndTransferETH(uint16 recipientChain, bytes32 recipient, uint256 arbiterFee, uint32 nonce)",,,,,
CashioApp,0x86766247ba3405c5f15f06b895294200809e9cfb,normal,0x216eb3854f3bee00fd31a6ab3296bafddca9e544f06954a836ef69ace00be98f,14409965,1647600774,0x86766247ba3405c5f15f06b895294200809e9cfb,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0,265013,35427770900,259359,0xff200cde,completeTransferAndUnwrapETH(bytes encodedVm),,,,,
CashioApp,0x86766247ba3405c5f15f06b895294200809e9cfb,normal,0xfc581cea3197ecf4e649b698e05b9971f1818af0344adbfa789e371003624361,14441536,1648025056,0x86766247ba3405c5f15f06b895294200809e9cfb,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0,265037,20138226847,259383,0xff200cde,completeTransferAndUnwrapETH(bytes encodedVm),,,,,
CashioApp,0x86766247ba3405c5f15f06b895294200809e9cfb,normal,0x316757d5faaf6bb650beefd1d282c1635e85cb63ff72dfe6f6d65f9edd039469,14441552,1648025176,0x86766247ba3405c5f15f06b895294200809e9cfb,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0,265109,15899807641,259455,0xff200cde,completeTransferAndUnwrapETH(bytes encodedVm),,,,,
CashioApp,0x86766247ba3405c5f15f06b895294200809e9cfb,normal,0xfb2f3c99eaf7519cfd086a4bc44296182aa7d56f1b1aaa0863089ed7e1431084,14441570,1648025444,0x86766247ba3405c5f15f06b895294200809e9cfb,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0,285297,21893857378,280953,0xc6878519,completeTransfer(bytes encodedVm),,,,,
CashioApp,0x86766247ba3405c5f15f06b895294200809e9cfb,normal,0x0f4b2302941f5f0696d87163e9112106d6868ab44c81e8919c4a00843e492841,14441584,1648025573,0x86766247ba3405c5f15f06b895294200809e9cfb,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0,278230,16886072797,273656,0xc6878519,completeTransfer(bytes encodedVm),,,,,
CashioApp,0x86766247ba3405c5f15f06b895294200809e9cfb,normal,0x64c065df278a8c00f36a02e0228e4783339b044090ba30b3a7817abfc815604a,14441608,1648025990,0x86766247ba3405c5f15f06b895294200809e9cfb,0xa693b19d2931d498c5b318df961919bb4aee87a5,0,62213,22960278515,61863,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
CashioApp,0x86766247ba3405c5f15f06b895294200809e9cfb,normal,0x437fd530c2eb20323501d1090d3c905351cbec309f0aa9d7eccdab8eaf671034,14441613,1648026072,0x86766247ba3405c5f15f06b895294200809e9cfb,0xceaf7747579696a2f0bb206a14210e3c9e6fb269,0,383546,26086011629,250280,0xa6417ed6,"exchange_underlying(int128 i, int128 j, uint256 dx, uint256 min_dy)",,,,,
CashioApp,0x86766247ba3405c5f15f06b895294200809e9cfb,normal,0x39e0570e2688be9e6c71b70d6e2b760538d3ee2fe57e6283a63b65ddba1b93e7,14441722,1648027692,0x86766247ba3405c5f15f06b895294200809e9cfb,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0,4515285,28404088334,3212366,0x46c67b6d,megaSwap(tuple data),,,,,
