incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
Easyfi,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,normal,0x84dc4924575bae826d50fd8278c307e5b8d2d7cbe05ad52a5e867f2c1aaa340a,12269350,1618819843,0x31499e03303dd75851a1738e88972cd998337403,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,500000000000000000,21000,151000000000,21000,0x,,,,,,
Easyfi,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,normal,0x22e6f53bff50a57a814aa4c989ced56cbc2bfe038b33ccc459f515737e0a986a,12269997,1618828616,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,250000000000000000,501984,163000000000,198970,0xab883d28,"multisendEther(address[] _contributors, uint256[] _balances)",,,,,
Easyfi,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,normal,0x4d6d6c5d6231614db587b52d1f8e4d58c8b804032f5ee959344ac47c51b046e6,12270002,1618828700,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,0x913d8adf7ce6986a8cbfee5a54725d9eea4f0729,0,80775,179000000000,53850,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Easyfi,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,normal,0x8699fa1c4b2c052b885a637b3ad06f16300609fe39cf108d7d3d3b14cfc553b1,12270009,1618828826,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,0x913d8adf7ce6986a8cbfee5a54725d9eea4f0729,0,80775,179000000000,53850,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Easyfi,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,normal,0xa7979f7791b96ad4a25cb89be0ccfd33aa5533b9250190718243b843285c776e,12270050,1618829557,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,0x913d8adf7ce6986a8cbfee5a54725d9eea4f0729,0,80757,219000000000,53838,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Easyfi,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,normal,0xbb7ebebbc012e3e26a26c5e42f6d5cf59357ef4ae1ea5182d8c409fd32c4347c,12270085,1618829998,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,0x913d8adf7ce6986a8cbfee5a54725d9eea4f0729,0,80757,181000000000,53838,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Easyfi,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,normal,0xae255415aa3725b7a819c072c1f82c4c3cc4bdc27f70280053a36599f74c45ff,12270096,1618830110,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,0x913d8adf7ce6986a8cbfee5a54725d9eea4f0729,0,51156,193000000000,46506,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Easyfi,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,normal,0xcc5497d794c09fe5fb8312bd81cb680842eba24c8e293fe3f38a4f02e080390c,12270099,1618830196,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,0x913d8adf7ce6986a8cbfee5a54725d9eea4f0729,0,80757,193000000000,53838,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Easyfi,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,normal,0x78d7186353aaae069fb2a0a715f989ef83128b0353f9492a5e8eae18a6908549,12270099,1618830196,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,157830,193000000000,137669,0x38ed1739,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",,,,,
Easyfi,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,normal,0x4e4b603575adcd79cd15bb6ff15618033e63d0407c13ffdec4e469db770602ce,12270232,1618831848,0x83a2eb63b6cc296529468afa85dbde4a469d8b37,0x913d8adf7ce6986a8cbfee5a54725d9eea4f0729,0,80739,172000000000,53826,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
