incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x104c523cacd76835d28092720c24a0be5c3935970dd8ec3cd0197ade668639f1,16818153,1678699367,0xc2dfdfe7d39da9e51ad332e426bc7a07aa423ba0,0xb66cd966670d962c227b3eaba30a872dbfb995db,1337000000000000,32772,16692355374,21848,0x48656c6c,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x0da04a52b19a121b61882f1f94194f26dc42e091e888dc80e80fcdcd264b8a35,16818350,1678701767,0x70b8172e628992007453aa4fe27048b59957e0ef,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,34140,24666073679,22760,0x48692c20,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x8de2b63776b6e12d258fae7042cc826833a23f45169a8eca97d1c35919c52b89,16818448,1678702943,0x4cc716e8c594330addd37cb6696e837d687e4183,0xb66cd966670d962c227b3eaba30a872dbfb995db,10000000000000,22600,22214310406,22600,0x4920616d,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0xf7f6ae2864677ea9e525fc594541527e4bd894ee9c65a4871171f7095c593214,16818504,1678703615,0xffffffff45cc70237c0eb04e4c77ac6299a42acd,0xb66cd966670d962c227b3eaba30a872dbfb995db,100000000000000,21000,28742074421,21000,0x,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x32be972bef6302d42d83ef624765ffd962728912a5896ce7e5d2092ff009ae07,16818504,1678703615,0xb66cd966670d962c227b3eaba30a872dbfb995db,0xc66dfa84bc1b93df194bd964a41282da65d73c9a,100000000000000000000,21000,26242074421,21000,0x,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x5ebadd00d09c915ff0ef52a9329b614a806ee18e3d79b0d1c2e3d3322c14cad8,16818523,1678703855,0xb66cd966670d962c227b3eaba30a872dbfb995db,0xc66dfa84bc1b93df194bd964a41282da65d73c9a,1000000000000000000,21000,26713829237,21000,0x,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x39d9d5a47870f469efff0bee54452e9d516cc15831aaab50f7f837ecf2353d46,16818601,1678704803,0x000000000002e33d9a86567c6dfe6d92f6777d1e,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,33324,17460335231,22216,0x57686174,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x7dc669c51b4075b8e78a580355c0783df0ce054de25a598211a33b63632b5a2c,16818871,1678708079,0x1a4571c098e2eb639a3f14da48407c9afad1bc32,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,21176,17500068232,21176,0x67697665,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x02d1f0569ea1d4263a3d653a6205416deba9ce3bdcd5ac3b094a8c990fea1050,16818940,1678708907,0xf7e9c8d39d6ff8dae1f78b3f6df69ec39d7b503a,0xb66cd966670d962c227b3eaba30a872dbfb995db,10000000000000,23640,21000000000,23640,0x49207468,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x83d070ccf21ec9aece334be2eac51fc37afeb6562f82bddb8fe8e55287159594,16818964,1678709207,0xc578d755cd56255d3ff6e92e1b6371ba945e3984,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,35052,20566188764,23368,0x57652061,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x305ce3c6859de5a79bc436ceb8590b3d08c37821cc2efd69eb33d5cfdf63e761,16818968,1678709255,0xf7e9c8d39d6ff8dae1f78b3f6df69ec39d7b503a,0xb66cd966670d962c227b3eaba30a872dbfb995db,1000000000000,22248,22050000000,22248,0x446f206e,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x4b742c76e3aabee21de09f0173bbd088c01bd8c22fbf5824d34365c467a77462,16819021,1678709891,0xed669164a6753bcfc9352ab4359e0862a5f8a4ad,0xb66cd966670d962c227b3eaba30a872dbfb995db,100000000000000,23800,22051622221,23800,0x646f2061,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x3c37b822a6e531c8d8aef1b278ca203fd8723c3ee9a45d090de7f01a46736e54,16819111,1678710983,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,10000000000000,22952,21797096528,22952,0x74686569,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0xa7c663395905666838dab72f781565d348a2d97f59e74c5067d76b2b196a8808,16819121,1678711103,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,10000000000000,21544,20501756635,21544,0x74686973,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x40047bd3face14425b0302f8ae5f7f051c4b3c5c6152a60888737ce5bed8f466,16819131,1678711223,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,1000000000000,21368,20557572108,21368,0x6d792064,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x29fe7f80d352d2e5e7c139a300c9e0b821fdef4ed2fc8e359d0bb2ffa88e254d,16819146,1678711403,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,21528,19124403437,21528,0x70617920,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x2356aeec4d2b3cca7b1ca9c77792204840fd29a3d81c5d4cff552b8c68fd0cf7,16819178,1678711799,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,21544,29973737241,21544,0x31303065,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x9e64d8a35be682d901a0682fc2d8f38f1d62e9fad6a86c519c5e4424ba3ae559,16819191,1678711967,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,21880,20794319683,21880,0x6a757374,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0xa6f6ef9bbb5ffc9e7ea323b696a5841beb3b2c510b2b2889c29fa48e72301d5a,16819202,1678712099,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,21096,18934459856,21096,0x31303065,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0xa48b3510f64b1b7f55796e597e16fedc482cf16ed4a378b8aff1849f188e8879,16819223,1678712363,0x894eb2f36769be80171f9d700b39695c1500b9f6,0xb66cd966670d962c227b3eaba30a872dbfb995db,100000000000,33204,19321739897,22136,0x68696775,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0xf3fded89b709758dca3f0a5874d4811cc7808802374c56d3031d046436e4e6cd,16819235,1678712507,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,21640,23096915457,21640,0x6d616b65,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x5c783afbfa039957393694b5b4a45452c662ff77c025b458b3f55f42a5ec4496,16819250,1678712687,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,21992,37079851437,21992,0x636c6963,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x1009e25a3f790c0daba5d58eb67d589b2fa0dbcbf06b589c80c50af3a3cb8b90,16819279,1678713035,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,22168,27955594821,22168,0x65746820,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x9f3fadab1651675b06c795efe4861453e94cbe8b8092073cb0c18ef8ad5aabdc,16819299,1678713275,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,21464,28608463664,21464,0x65756c65,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x539c6fff0fce70e02dddd80a5534acf3df57deafbdc40f41abb20aa8f94a6d0d,16822133,1678747667,0xee009faf00cf54c1b4387829af7a8dc5f0c8c8c5,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,23992,27468333120,23992,0x57652075,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x50a8028a90a02921589caa8f4750ea3865d80fb0f17ab243e508e6a26b307cac,16822792,1678755671,0x8e0223056a8dec00dafc295b215661fc870edf45,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,23976,18948520337,23976,0x68656c6c,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x39259315985fd9431c7b47f297046d924523fb1dffe34a477915c7103c98f45c,16823631,1678765895,0xe1d1af37b7f2f08f046f075b93f522dccaf2f4b6,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,30000,20000000000,26824,0x68692074,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0x9e9592d5b6a03a6d241a425c9c26f2913374b6858ecdebe624e3ae40c7dfb907,16824618,1678777883,0x5b94fdc888c58dad24192573bba64e718db1408c,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,23032,16997625405,23032,0x45554c45,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0xb345d48c516f708fc29534263ab4f09c66d709b228adc6c1b440e9455214ca8d,16825659,1678790495,0x624dbbdc6dc68f1bb4890c56fcbdfa34a26f19b5,0xb66cd966670d962c227b3eaba30a872dbfb995db,69000000000000,21000,17796134487,21000,0x,,,,,,
Euler_Finance_2023,0xb66cd966670d962c227b3eaba30a872dbfb995db,normal,0xe6135e3b0ca0f5668e2383176099f6a9661291d44f771e88b61501d3c4b34928,16826106,1678795931,0x52d5add06b5f0c559368db9ca87b12d139a7d703,0xb66cd966670d962c227b3eaba30a872dbfb995db,0,57636,22132625824,38424,0x48657920,,,,,,
