incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
Fake__Metadium_Presale,0x6ca33486eed915816560630b883a047c4e2b92df,normal,0x35b747c06189afd170b37548f86694922ad2009126bd0e2901290865693fad44,5166180,1519746090,0x657c49ff70b03d4d5a52ee9a8f666dba64d6d5f0,0x6ca33486eed915816560630b883a047c4e2b92df,1000000000000000000000,200000,60000000000,21000,0x,,,,,,
Fake__Metadium_Presale,0x6ca33486eed915816560630b883a047c4e2b92df,normal,0x60cfee68677e3c3c1caae5cce786ecc760a475bfed80d03a451930194d493d3d,5236260,1520773457,0x98b3214e91f793c7c6f969eb1c82d61dcffcecd0,0x6ca33486eed915816560630b883a047c4e2b92df,500000000000000000000,21000,59000000000,21000,0x,,,,,,
Fake__Metadium_Presale,0x6ca33486eed915816560630b883a047c4e2b92df,normal,0xa416bed38e0a5ac6c6c60948dc47325ca7ebe0903914fbd338dfde3dcab82769,5254297,1521038394,0xf7bea5f5f7a8dc1431eaa8b9a3d6dd1920af860a,0x6ca33486eed915816560630b883a047c4e2b92df,250000000000000000000,21000,50000000000,21000,0x,,,,,,
Fake__Metadium_Presale,0x6ca33486eed915816560630b883a047c4e2b92df,normal,0xde93cfb27fb68a12fa2c911a4b6114bc8db85734e4cabeebf9ef9c987b802a28,5274165,1521330595,0x66dce207eb3929478089297febc2747c8b93dbae,0x6ca33486eed915816560630b883a047c4e2b92df,100000000000000000000,21000,2000000000,21000,0x,,,,,,
Fake__Metadium_Presale,0x6ca33486eed915816560630b883a047c4e2b92df,normal,0x799c353e78cff17193d16c77b5cbc01d21d062aa834915c21d0d116dcd17381f,5279663,1521410634,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x6ca33486eed915816560630b883a047c4e2b92df,1150000000000000000000,90000,30000000000,21004,0x00,,,,,,
Fake__Metadium_Presale,0x6ca33486eed915816560630b883a047c4e2b92df,normal,0x78219dc6ed5de545467b9529461c8ce90ff70c00fcb0c1294923bb8a49051352,5394451,1523065761,0x08993b12cb8eebcb4452b0d6fabdc8aaa95ccd47,0x6ca33486eed915816560630b883a047c4e2b92df,2002998550119998170000,21000,80000000000,21000,0x,,,,,,
Fake__Metadium_Presale,0x6ca33486eed915816560630b883a047c4e2b92df,normal,0x4ebf2e6fdd1b1a0d80679ae83dad8f6e52f6ddeece63c44833828aa55fb73b3a,5462092,1524047012,0x6ca33486eed915816560630b883a047c4e2b92df,0xdf0c88fa493b2f5c4d4ffd9dd087a0d18e45aaf5,9000000000000000000,21000,41000000000,21000,0x,,,,,,
Fake__Metadium_Presale,0x6ca33486eed915816560630b883a047c4e2b92df,normal,0x90d7d7fd36daf5b5782bdd98226092f7049018db5292789d61adc821ae94e1bf,5462113,1524047346,0x6ca33486eed915816560630b883a047c4e2b92df,0x504b3271550c170c5466ac60bd83f3d2940f8149,9000000000000000000,21000,41000000000,21000,0x,,,,,,
Fake__Metadium_Presale,0x6ca33486eed915816560630b883a047c4e2b92df,normal,0x94796c923ac07d43bd900dadb00f45a47eb6cc7c60143326023eed7c2d983c0a,5462125,1524047617,0x6ca33486eed915816560630b883a047c4e2b92df,0xb352b9b3e8422d4fff71cc002c7cf82b0f04aa93,9000000000000000000,21000,41000000000,21000,0x,,,,,,
Fake__Metadium_Presale,0x6ca33486eed915816560630b883a047c4e2b92df,normal,0x11103f0be3644625a558166d9f60d5dbb17ae25bcb589a98db8953c73512aa48,5462131,1524047720,0x6ca33486eed915816560630b883a047c4e2b92df,0xfa0711ccc236add5d349239e64e74b25da9168c8,9000000000000000000,21000,41000000000,21000,0x,,,,,,
