incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0x19f0723cbf97a6726b4bc90ecd2ec1dff51284f893001bbfe47c56b24b961f7f,12452388,1621261144,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0xef9cd7882c067686691b6ff49e650b43afbbcc6b,0,43209,73000000000,28806,0x79ba5097,acceptOwnership(),,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0x15d5debef9f78126f82dc21ff554bf7e050a73b3d51fafed1f589b867da21bbf,12452395,1621261224,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0xef9cd7882c067686691b6ff49e650b43afbbcc6b,0,84177,81000000000,56118,0x40c10f19,"mint(address _owner, uint256 _amount)",,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0xdefe012634d03256fa55d789f21b64be2b78739b143a57a84fc36e1968bc91e5,12452424,1621261615,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0x772577ee35de3ed04b20a52238971a0a5697544c,100000000000000000,21000,85000000000,21000,0x,,,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0xdad0d0e5892bebc7d99a06a27008ab32b3da77b780af6ef5802a47997fb31c90,12452430,1621261671,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0xef9cd7882c067686691b6ff49e650b43afbbcc6b,0,78204,85000000000,52136,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0x15467ca7c5b7ee5b7427c2eda0bf12bd1cdb811d980b12813bc63792a8f978fe,12452439,1621261791,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0xef9cd7882c067686691b6ff49e650b43afbbcc6b,0,52554,80000000000,35036,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0x81d701aacbe0be01551b00f877bf5f5af7c2184001376422d28421272dae3cb5,12452451,1621261893,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0xef9cd7882c067686691b6ff49e650b43afbbcc6b,0,78204,74000000000,52136,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0x65406d954a6ededc4888b9c9a6bedde2e5fbb3c1aaf6db4056c211723dd90693,12452451,1621261893,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0xef9cd7882c067686691b6ff49e650b43afbbcc6b,0,78204,74000000000,52136,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0xc0a40de8a5ef334ea4a9cd00d5302c808728e88cd0f33c3ba2f0e3a0dbd8f023,12452457,1621261992,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0xef9cd7882c067686691b6ff49e650b43afbbcc6b,0,75000,72000000000,46502,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0x9bd7c03c2763e4ef57e2b5dbfda1a7d90ca742f0d3eebf145d21309f0082966c,12452463,1621262044,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0xfceaaaeb8d564a9d0e71ef36f027b9d162bc334e,0,350000,81000000000,140496,0x257011b6,"userLock(bytes32 smgID, uint256 tokenPairID, uint256 value, bytes userAccount)",,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0x4287a801d6c4c3a47d4132c7d3919de77599abcdf778fc2029e5d1bfef59023d,12452468,1621262096,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0x4fae6af6ed5a8113194b2fae330144fc09f09ecd,100000000000000000,21000,76000000000,21000,0x,,,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0x81cbd3182e50fdd5d0ef2b3149c6427360599224fd76ce923de7c2909220a953,12452473,1621262173,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0x2da3a8738c34ffb35182670bcb76ad722240bcc0,100000000000000000,21000,76000000000,21000,0x,,,,,,
FinNexus,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,normal,0x85c4755a5b942ec53b01536b9d42628ae4439cd49c1693d5c8220484dc385306,12452483,1621262319,0x5ebc7d1ff1687a75f76c3edfabcde89d1c09cd5f,0xef9cd7882c067686691b6ff49e650b43afbbcc6b,0,52572,76000000000,35048,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
