incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
Harmony_2022,0x0d043128146654c7683fbf30ac98d7b2285ded00,normal,0xd095749a3c67cfe27649187b0c2514d0b3e2c5b3cc2003cd5741b9c1abed69f9,15012744,1655983960,0x0d043128146654c7683fbf30ac98d7b2285ded00,0x58f4baccb411acef70a5f6dd174af7854fc48fa9,1000000000000000000,21000,47995855526,21000,0x,,,,,,
Harmony_2022,0x0d043128146654c7683fbf30ac98d7b2285ded00,normal,0xcc4517530a398a68d789efd583f941a190a1783470a905b5f5deb2e73c704b30,15012748,1655984076,0x0d043128146654c7683fbf30ac98d7b2285ded00,0x9e91ae672e7f7330fc6b9bab9c259bd94cd08715,1000000000000000000,21000,53757953627,21000,0x,,,,,,
Harmony_2022,0x0d043128146654c7683fbf30ac98d7b2285ded00,normal,0x457d396dc2c034952d98379a9500fa2ff12f81b9b67c6196ac6a331976fe42c7,15012785,1655984683,0x0d043128146654c7683fbf30ac98d7b2285ded00,0x58f4baccb411acef70a5f6dd174af7854fc48fa9,0,210000,48965515811,21608,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Harmony_2022,0x0d043128146654c7683fbf30ac98d7b2285ded00,normal,0xf8161191c853c985fb766959c9316e4c9a1695e1351052ee16c0ecbbff4d85d8,15012811,1655985040,0x0d043128146654c7683fbf30ac98d7b2285ded00,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,210000,44546073858,65625,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Harmony_2022,0x0d043128146654c7683fbf30ac98d7b2285ded00,normal,0x8c57ff994cdde0e9e8764e48a19694b053da1b9f2483025ecd56b32a83e049a1,15012829,1655985344,0x0d043128146654c7683fbf30ac98d7b2285ded00,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0,210000,46223864672,54399,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Harmony_2022,0x0d043128146654c7683fbf30ac98d7b2285ded00,normal,0x9712332b8438a7f409b31244369f7ef7680f5f6f38e2c987b0f978cf2a0faa15,15012837,1655985452,0x0d043128146654c7683fbf30ac98d7b2285ded00,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,210000,46353301020,65637,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Harmony_2022,0x0d043128146654c7683fbf30ac98d7b2285ded00,normal,0x0cede4ad534cd798f9d2dbbcc753f7732c6d274f5b7eefd35b67dd784d2d7156,15012854,1655985723,0x0d043128146654c7683fbf30ac98d7b2285ded00,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0,210000,49231589527,54411,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Harmony_2022,0x0d043128146654c7683fbf30ac98d7b2285ded00,normal,0xb4d60d5161b8508098d9c21834377eaded6b8668d205dfe4bfa7b6dd30f7a192,15012856,1655985768,0x58f4baccb411acef70a5f6dd174af7854fc48fa9,0x0d043128146654c7683fbf30ac98d7b2285ded00,4570000000000000000000,21000,26339027589,21000,0x,,,,,,
Harmony_2022,0x0d043128146654c7683fbf30ac98d7b2285ded00,normal,0x11c3d56721ef320590826980c45b981108e1fb519e2b3ff04522502b8b3450ca,15012862,1655985811,0x0d043128146654c7683fbf30ac98d7b2285ded00,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,210000,48678712823,65637,0xa9059cbb,"transfer(address _to, uint256 _value)",,,,,
Harmony_2022,0x0d043128146654c7683fbf30ac98d7b2285ded00,normal,0x9cdf447483508d632c5531c5dac8ed31486c0f054c0004bc80a9e07521b3d506,15012864,1655985886,0x9e91ae672e7f7330fc6b9bab9c259bd94cd08715,0x0d043128146654c7683fbf30ac98d7b2285ded00,3899000000000000000000,21000,19885184594,21000,0x,,,,,,
