incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0x0c45ae6652b2ac508d63d7e74d35a5f0a66daa20cf632eb7a3e460325b8f4a28,13967499,1641680951,0x4631018f63d5e31680fb53c11c9e1b11f1503e6f,0x165402279f2c081c54b00f0e08812f3fd4560a05,162000000000000000000,21000,108671671183,21000,0x,,,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0xad2032f9ca8c7af1592573b167a6f96404129afbc9fb345c2b1b13a633ee5da5,13967542,1641681466,0x4631018f63d5e31680fb53c11c9e1b11f1503e6f,0x165402279f2c081c54b00f0e08812f3fd4560a05,680000000000000000,21000,126865554218,21000,0x,,,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0xdff22c18ebf286b91bd467a0231c4357851ed54b482f855e2597133a9ceeff79,13967560,1641681622,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x1111111254fb6c44bac0bed2854e76f90643097d,0,2271617,88682335007,1609281,0x7c025200,0x7c025200(),,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0xde71fd62a34d3d947beada559a76a276b25f1e44d84874a687d6ae7de6531c56,13967587,1641681871,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x037a54aab062628c9bbae1fdb1583c195585fe41,0,53605,93508839039,46613,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0x25d356471b28dc22fa49dd69d52e90b78a94490a4fc93c3c843bc546868e9e2b,13967591,1641681892,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x1111111254fb6c44bac0bed2854e76f90643097d,0,1057911,87397629478,867732,0x7c025200,0x7c025200(),,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0x3b3a9db9247b51c7d2291aef8a3f247893b810142f92d82735f1fa8f79cabcee,13967594,1641681959,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x3845badade8e6dff049820680d1f14bd3903a5d0,0,53527,106786240739,46545,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0x817d3c9b33bb0721f2f916a3b7a6dd9cdd16bddb161117ad49012ce9b59aeec1,13967599,1641682024,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x1111111254fb6c44bac0bed2854e76f90643097d,0,414698,110392361382,311191,0x7c025200,0x7c025200(),,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0x859cadf84826a73b5d6c7db99dba1b54acbc4aefa378ad4b1272432d642a908a,13967599,1641682024,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x4a220e6096b25eadb88358cb44068a3248254675,0,53319,109942361382,46364,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0x7eab44530caf27e5b0ab0278dfc0e0281a63a9e0985cdff2c3d233468edb6d24,13967604,1641682151,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x1111111254fb6c44bac0bed2854e76f90643097d,0,1063092,120652139802,769263,0x7c025200,0x7c025200(),,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0xaf827b79b81215a1624a4b7938c175e0b496238acd82356424172742f62ac1b9,13967609,1641682203,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x514910771af9ca656af840dff83e8264ecf986ca,0,53750,116773197163,46739,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0x78e841ceb4f29ae87866f8f470cdd9e0fad0b157ed664036011bf7f69f7c0e06,13967615,1641682264,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x1111111254fb6c44bac0bed2854e76f90643097d,0,231090,105267543575,149399,0xe449022e,"uniswapV3Swap(uint256 amount, uint256 minReturn, uint256[] pools)",,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0xd11e1b10acc161b2e54a4fa7984a6125ad2411e72332db3bf094c0e7f4ea07c8,13967635,1641682508,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x3231cb76718cdef2155fc47b5286d82e6eda273f,0,81735,122046271610,71074,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
LCX,0x165402279f2c081c54b00f0e08812f3fd4560a05,normal,0xd606bbd2c5e678ab0e24155e193e30cd941c98d8df55d614e6e26788169bef48,13967637,1641682549,0x165402279f2c081c54b00f0e08812f3fd4560a05,0x1111111254fb6c44bac0bed2854e76f90643097d,0,473985,125701730704,379346,0xe449022e,"uniswapV3Swap(uint256 amount, uint256 minReturn, uint256[] pools)",,,,,
