incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
NowSwap,0x5676e585bf16387bc159fd4f82416434cda5f1a3,normal,0x4033163bfdc75318c8ffd17282f81fbdb09f1e08aeaef8ea7ea2a75d794fdc95,13224603,1631632569,0xf66852bc122fd40bfecc63cd48217e88bda12109,0x5676e585bf16387bc159fd4f82416434cda5f1a3,147235290000000000,90000,96000000000,21000,0x,,,,,,
NowSwap,0x5676e585bf16387bc159fd4f82416434cda5f1a3,normal,0xe1271d241d3bc7ad65e763f30a8a864febd81ae4f69213a23cfec290da652a06,13225020,1631638483,0x5676e585bf16387bc159fd4f82416434cda5f1a3,,0,409164,96405659293,409164,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",,,,,
NowSwap,0x5676e585bf16387bc159fd4f82416434cda5f1a3,normal,0xf39f0b0b79649740ff945d03eb1e930bcb35c2f669f607bb99cf871adbe3e44d,13225126,1631639922,0x5676e585bf16387bc159fd4f82416434cda5f1a3,0x30e7d757006ae8f58edad2cf3f92b24e29b799ab,0,456730,76732313010,383017,0x4f4c7231,,,,,,
NowSwap,0x5676e585bf16387bc159fd4f82416434cda5f1a3,normal,0x6051a25a1db8df20dff926a036b1676f02f703d4c54bf7f5c2e7ae36aa3d6d37,13225141,1631640131,0x5676e585bf16387bc159fd4f82416434cda5f1a3,0x0bcd83df58a1bfd25b1347f9c9da1b7118b648a6,0,54309,71620829389,30626,0x2e1a7d4d,withdraw(uint256 amount),,,,,
NowSwap,0x5676e585bf16387bc159fd4f82416434cda5f1a3,normal,0x3ddf58d29dce9c6c8e7e181d239eedb1dfcba2ae9c0976ddacf2e8a6355003bb,13225173,1631640702,0x5676e585bf16387bc159fd4f82416434cda5f1a3,0xeb58343b36c7528f23caae63a150240241310049,0,56076,110000000000,48762,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
NowSwap,0x5676e585bf16387bc159fd4f82416434cda5f1a3,normal,0x99b0fceb09a1b352257759db75107b081a9b3984e4c0f134bf7e88f2c130101c,13225185,1631640817,0x5676e585bf16387bc159fd4f82416434cda5f1a3,0x11111112542d85b3ef69ae05771c2dccff4faa26,0,153098,75087663818,115360,0x2e95b6c8,"unoswap(address srcToken, uint256 amount, uint256 minReturn, bytes32[])",,,,,
NowSwap,0x5676e585bf16387bc159fd4f82416434cda5f1a3,normal,0x407cdc8ee6663e0da84f72b1b3f16b3f3a44749ec97a9684986f241f4fb0d2d2,13225498,1631644996,0x5676e585bf16387bc159fd4f82416434cda5f1a3,,0,534136,59280993677,534136,0x60806040,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)",,,,,
NowSwap,0x5676e585bf16387bc159fd4f82416434cda5f1a3,normal,0x5908622ce9670fdcd7954aa098aadb3e13882f198b795c6fea5ee6fc2c802d3c,13225517,1631645259,0x5676e585bf16387bc159fd4f82416434cda5f1a3,0x1baf1e57feeb33ab9853e87022c519cc954a918a,0,478219,70239476432,393619,0x4f4c7231,,,,,,
NowSwap,0x5676e585bf16387bc159fd4f82416434cda5f1a3,normal,0xf76de74e8ee8af1c6db30b2b45b07bc5e475db75a15deb70c3e830474194c1ca,13225531,1631645520,0x5676e585bf16387bc159fd4f82416434cda5f1a3,0x11111112542d85b3ef69ae05771c2dccff4faa26,0,153086,79841005547,115348,0x2e95b6c8,"unoswap(address srcToken, uint256 amount, uint256 minReturn, bytes32[])",,,,,
NowSwap,0x5676e585bf16387bc159fd4f82416434cda5f1a3,normal,0x4ba7fdea480f7c22431b43e60f5cc437744f7a6e73ace2f0ced89d69b2581215,13225541,1631645650,0x5676e585bf16387bc159fd4f82416434cda5f1a3,0x0bcd83df58a1bfd25b1347f9c9da1b7118b648a6,0,54309,71822364409,30626,0x2e1a7d4d,withdraw(uint256 amount),,,,,
