incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x6d11803ef4a69fc9c4661931dc5fe2ecdf8add74766f81f945ffb7f9539bdcdd,14684371,1651305099,0x6162759edad730152f0df8115c698a42e666157f,,0,4600191,27449833054,4181992,0x60a06040,,,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x531e42376038809d98fd488edddb33126431bda870bd3f43984025486a3f4f68,14684376,1651305163,0x6162759edad730152f0df8115c698a42e666157f,,0,650527,30680103460,591389,0x60a06040,,,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xd9ee4fc5ee0b8815e6aae20e8bc5697ee49b8a1c76619a008bf534a4084197dc,14684402,1651305530,0x6162759edad730152f0df8115c698a42e666157f,0x32075bad9050d4767018084f0cb87b3182d36c45,0,150000,24941234178,45060,0x1c1b8772,update(address key),,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x680ca4da5cfd6367f7e21ef31561b27418585a8615177825420841f24167ae01,14684630,1651308336,0x6162759edad730152f0df8115c698a42e666157f,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0,70035,27730637527,46690,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xadbe5cf9269a001d50990d0c29075b402bcc3a0b0f3258821881621b787b35c6,14684686,1651309295,0x6162759edad730152f0df8115c698a42e666157f,0x32075bad9050d4767018084f0cb87b3182d36c45,0,10000000,37925648394,6413139,0x34930754,,,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x0f75349606610313cb666277eeda612e72be624cae061d017e503056bbf4d8e0,14684686,1651309295,0x6162759edad730152f0df8115c698a42e666157f,0x32075bad9050d4767018084f0cb87b3182d36c45,0,10000000,37925648394,6131360,0x34930754,,,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xa733e844d28d4281f1334f8e2982217d0ff010576417067c4aa07ee66177db20,14684691,1651309355,0x6162759edad730152f0df8115c698a42e666157f,0xe39f3c40966df56c69aa508d8ad459e77b8a2bc1,0,41313,38111668635,35308,0x318d9e5d,claim(address[] pools),,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x8ad7ca6b28b4a2b588af3d321c919f1406396886f337b014fdac3fb4857b2cbe,14684703,1651309534,0x6162759edad730152f0df8115c698a42e666157f,0xe39f3c40966df56c69aa508d8ad459e77b8a2bc1,0,255896,35986767948,218233,0x318d9e5d,claim(address[] pools),,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x0d712d2a510b2cbddb0c0a085e21f144b3bbd086f0af2f775cc2d4a4453cbadc,14684707,1651309582,0x6162759edad730152f0df8115c698a42e666157f,0x2a188f9eb761f70ecea083ba6c2a40145078dfc2,0,204486,35227567768,131386,0x2b83cccd,"redeem(address _user, uint256 _epoch, uint256 _couponAmount)",,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x5a098cbf41769a4db073f3ff70c55233a3f80e7be8a3a27ca0a90df6151af55f,14684709,1651309663,0x6162759edad730152f0df8115c698a42e666157f,0x956f47f50a910163d8bf957cf5846d573e7f87ca,0,56028,40987695048,46690,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x6d08a071d61ed22108ece7699e4ffa9ac28cf9bb89095e76bea9f06bd86c674e,14684728,1651310016,0x6162759edad730152f0df8115c698a42e666157f,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,0,55774,38768538288,46479,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xc16ff60a63f5e960199345609185a27f8a8a4eae218b4fbd9b6ecd729eb92302,14684735,1651310101,0x6162759edad730152f0df8115c698a42e666157f,0xe39f3c40966df56c69aa508d8ad459e77b8a2bc1,0,149622,30615088801,136020,0x318d9e5d,claim(address[] pools),,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xd5628112fbb9ad458ccd5c73838332804e6432d74a1bc1d3342aa94dd42d669b,14684737,1651310149,0x6162759edad730152f0df8115c698a42e666157f,0x2a188f9eb761f70ecea083ba6c2a40145078dfc2,0,204576,36790455835,126646,0x2b83cccd,"redeem(address _user, uint256 _epoch, uint256 _couponAmount)",,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x0742b138a78ad9bd5d0b55221d514637313bc64c40272ca98c8d0417a519e2e4,14684766,1651310468,0x6162759edad730152f0df8115c698a42e666157f,0x32075bad9050d4767018084f0cb87b3182d36c45,0,20000000,29563402834,6376686,0x34930754,,,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x254735c6c14e4d338b1cc5bca43aab6b0f395ae06085013b1b2527180d270a31,14684766,1651310468,0x6162759edad730152f0df8115c698a42e666157f,0x32075bad9050d4767018084f0cb87b3182d36c45,0,20000000,29563402834,9455630,0x34930754,,,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x229f06fa0c52da254c8681ae009d9ced5ad67dc7cba5c2ea532586c9659ef29c,14684791,1651310848,0x6162759edad730152f0df8115c698a42e666157f,0xe39f3c40966df56c69aa508d8ad459e77b8a2bc1,0,281631,35855210463,234579,0x318d9e5d,claim(address[] pools),,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xab486012f21be741c9e674ffda227e30518e8a1e37a5f1d58d0b0d41f6e76530,14684814,1651311149,0x6162759edad730152f0df8115c698a42e666157f,0x32075bad9050d4767018084f0cb87b3182d36c45,0,20000000,33270135867,9298375,0x34930754,,,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x9e4d4f4ebb45d1e03813d834494045c1b6ea2adbde1b89fbe24349846c223779,14684823,1651311324,0x6162759edad730152f0df8115c698a42e666157f,0x32075bad9050d4767018084f0cb87b3182d36c45,0,20000000,35474771888,8848233,0x34930754,,,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xa185f63b82cbb199a435399cfd414b89ebab91485d5034cdf8861a5f958259a4,14684823,1651311324,0x6162759edad730152f0df8115c698a42e666157f,0x32075bad9050d4767018084f0cb87b3182d36c45,0,20000000,35474771888,8588748,0x34930754,,,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x93dc61ffa6873f34e91664c5c87bca2336922c6ca3f0aa01d4299741c158cca2,14684829,1651311397,0x6162759edad730152f0df8115c698a42e666157f,0x853d955acef822db058eb8505911ed77f175b99e,0,56012,33811566440,46677,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xd5a84ef439a21b305e5e32cc3316d82e275fd2ccffe799d6dcdddb35f5de9210,14684859,1651311663,0x6162759edad730152f0df8115c698a42e666157f,0xa693b19d2931d498c5b318df961919bb4aee87a5,0,74655,25563134967,61863,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x57be267ac8a891747fcfae6c1adcc3d34931eefbf44aca266642f4d8837f08ea,14684872,1651311836,0x6162759edad730152f0df8115c698a42e666157f,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0,1507563,28682079217,1137736,0x46c67b6d,megaSwap(tuple data),,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xdb87356c2ffa76be850d20c770b6e00917a301a447410b226ba85354bf19aab4,14684878,1651311932,0x6162759edad730152f0df8115c698a42e666157f,0xe39f3c40966df56c69aa508d8ad459e77b8a2bc1,0,365477,29250707959,301202,0x318d9e5d,claim(address[] pools),,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x1003a5d13259f35e47f393bef4bc14c4fb842f9fe33d2878a9c01647cc311834,14684897,1651312171,0x6162759edad730152f0df8115c698a42e666157f,0xe39f3c40966df56c69aa508d8ad459e77b8a2bc1,0,63980,28235824085,53364,0x318d9e5d,claim(address[] pools),,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xacf8f7644ab8affaa8df28ccd52a33a3492c4c8a8cd0cac5792da3ed42f05c2e,14684900,1651312226,0x6162759edad730152f0df8115c698a42e666157f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,72912,26483842320,60311,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x6ad1c31bdf27104366a6190b6630844e5c966ebc2677a3c56147a33757a727db,14684910,1651312366,0x6162759edad730152f0df8115c698a42e666157f,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0,477310,26600318357,342250,0xa94e78ef,multiSwap(tuple data),,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x946d6ba63646b7d1a7e3ea872aa446544ae5dd5f25dd40867ef440b0d9d7c6ee,14684913,1651312429,0x6162759edad730152f0df8115c698a42e666157f,0x853d955acef822db058eb8505911ed77f175b99e,0,46677,31561049850,46677,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0x64a92fdca24be2fe3238d8e73bc9236376f4a427dc4e573be462c926893a9165,14684917,1651312469,0x6162759edad730152f0df8115c698a42e666157f,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0,2375832,26576423502,1623451,0x46c67b6d,megaSwap(tuple data),,,,,
Rari_Capital_Fei_2022,0x6162759edad730152f0df8115c698a42e666157f,normal,0xabedab381445a7c76b9870356d6451992b2bf0fbd64d3949717fc9cacd5a9f34,14684919,1651312502,0x6162759edad730152f0df8115c698a42e666157f,0xdac17f958d2ee523a2206206994597c13d831ec7,0,48897,29336197470,48897,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
