incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
SashimiSwap,0xa8189407a37001260975b9da61a81c3bd9f55908,normal,0x6529750d728a61527f99dfb46c38d820a3e20fd4e13a18e3ca32e1113abef6ea,13905241,1640847809,0xa8189407a37001260975b9da61a81c3bd9f55908,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0,46922,180298035244,46922,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
SashimiSwap,0xa8189407a37001260975b9da61a81c3bd9f55908,normal,0x6fb5319a6bf1a54ddc88362d51b9be279f72373e61af68d2455b2ab6974ac5d9,13905241,1640847809,0xa8189407a37001260975b9da61a81c3bd9f55908,0xc28e27870558cf22add83540d2126da2e4b464c2,0,46255,180298035244,46255,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
SashimiSwap,0xa8189407a37001260975b9da61a81c3bd9f55908,normal,0x5ca582fbcfbd09d8190abf1055079392709015047a91f279965d0e6c647bcd8c,13905241,1640847809,0xa8189407a37001260975b9da61a81c3bd9f55908,0xdac17f958d2ee523a2206206994597c13d831ec7,0,48645,180298035244,48645,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
SashimiSwap,0xa8189407a37001260975b9da61a81c3bd9f55908,normal,0xf1fb3348fd27cae318963ec3858beaab1abe98601f5a7ee401ea8f9551e2c9ea,13905241,1640847809,0xa8189407a37001260975b9da61a81c3bd9f55908,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,0,48333,180298035244,48333,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
SashimiSwap,0xa8189407a37001260975b9da61a81c3bd9f55908,normal,0x9572d23befaf80b7505172be65788b24a871570ae29e2dddf61d7f3879e3c568,13905242,1640847821,0xa8189407a37001260975b9da61a81c3bd9f55908,0xc00e94cb662c3520282e6f5717214004a7f26888,0,46946,202503676305,46946,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
SashimiSwap,0xa8189407a37001260975b9da61a81c3bd9f55908,normal,0x491e690fc1ccdea9c5702608ba06ce58eaf1827690da35a50152fe6d966590be,13905242,1640847821,0xa8189407a37001260975b9da61a81c3bd9f55908,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,60508,202503676305,60059,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
SashimiSwap,0xa8189407a37001260975b9da61a81c3bd9f55908,normal,0xfb2af673eaa61894c01f8b391dc089f60074f0d3e8e20e13da9794cee672f5f2,13905242,1640847821,0xa8189407a37001260975b9da61a81c3bd9f55908,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0,46411,202503676305,46411,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
SashimiSwap,0xa8189407a37001260975b9da61a81c3bd9f55908,normal,0xcff5e1e0f497b6e9a768cee5a360331c3b33892a462dd712b2d042b142a0bd74,13905242,1640847821,0xa8189407a37001260975b9da61a81c3bd9f55908,0x514910771af9ca656af840dff83e8264ecf986ca,0,46487,202503676305,46487,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
SashimiSwap,0xa8189407a37001260975b9da61a81c3bd9f55908,normal,0xde3fc7db5255d0d33a47b5279abd4ddf0b82db37ba149ffef387d9ddf5b8ebde,13905242,1640847821,0xa8189407a37001260975b9da61a81c3bd9f55908,0x6b175474e89094c44da98b954eedeac495271d0f,0,46206,202503676305,46206,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
SashimiSwap,0xa8189407a37001260975b9da61a81c3bd9f55908,normal,0x0646ff432c679c1f48d81634942f25aec2a1400ce3ab78168d3d47e2aa20b235,13905242,1640847821,0xa8189407a37001260975b9da61a81c3bd9f55908,0x408e41876cccdc0f92210600ef50372656052a38,0,48372,202503676305,48372,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
