incident_name,has_accounts,has_addresses,has_transactions,num_hacker_accounts,num_related_addresses,num_transactions,num_normal_tx,num_internal_tx,num_erc20_tx,num_erc721_tx,total_eth_value,unique_from_addresses,unique_to_addresses,unique_contracts,earliest_timestamp,latest_timestamp,year,month,amount_stolen,description,data_quality,has_complete_data,earliest_date,latest_date,activity_duration_days
WazirX_2024,True,True,True,2,3953,10147,4000,2146,4000,1,36655.75923362909,3448,1177,79,1611991703.0,1721283623.0,2024.0,7.0,235.0,WazirX Multi-Sig Wallet Compromise,High,True,2021-01-30 07:28:23,2024-07-18 06:20:23,1264.95
Nomad_Bridge_2022,True,True,True,2,3040,9188,4000,2000,2532,656,557.8376056752869,2267,1215,105,1574471013.0,1753675031.0,2022.0,8.0,190.0,Nomad Bridge Exploit,High,True,2019-11-23 01:03:33,2025-07-28 03:57:11,2074.12
Ronin_Network_2022,True,True,True,2,2752,6512,2428,2002,2006,76,190834.88780389147,533,218,21,1597577337.0,1740859967.0,2022.0,3.0,625.0,Ronin Bridge Exploit,High,True,2020-08-16 11:28:57,2025-03-01 20:12:47,1658.36
Bondly_Finance,True,True,True,1,441,2834,825,9,2000,0,1039.5215494919041,365,393,57,1626271478.0,1644370073.0,,,,,High,True,2021-07-14 14:04:38,2022-02-09 01:27:53,209.47
Plus_Token_Ponzi_1,True,True,True,1,1873,2333,2000,0,328,5,16388.16547144,1546,248,89,1525157768.0,1733949059.0,,,,,High,True,2018-05-01 06:56:08,2024-12-11 20:30:59,2416.57
FTX_Hack_2022,True,True,True,2,840,2282,1206,60,982,34,319163.0730544581,580,138,184,1618604105.0,1757158763.0,2022.0,11.0,477.0,FTX Exchange Hack During Bankruptcy,High,True,2021-04-16 20:15:05,2025-09-06 11:39:23,1603.64
Lendf.Me_1,True,True,True,1,80,2185,2000,24,161,0,60888.99313431515,45,40,35,1587256932.0,1638889785.0,,,,,High,True,2020-04-19 00:42:12,2021-12-07 15:09:45,597.6
Multichain_2023,True,True,True,2,526,2138,111,0,2027,0,0.180012,344,298,17,1639564399.0,1754193539.0,2023.0,7.0,126.0,Multichain Bridge Anomaly,High,True,2021-12-15 10:33:19,2025-08-03 03:58:59,1326.73
DAOMaker_1,True,True,True,1,8,2026,23,3,2000,0,2262.71848980078,4,6,1,1628731975.0,1628738432.0,,,,,High,True,2021-08-12 01:32:55,2021-08-12 03:20:32,0.07
Cryptopia_1,True,True,True,1,2002,2010,2000,0,9,1,42557.90087080636,1995,2,6,1547386235.0,1587659274.0,,,,,High,True,2019-01-13 13:30:35,2020-04-23 16:27:54,466.12
Etherwrapped_Rug,True,True,True,1,1196,2002,2000,0,2,0,0.25,1195,1,1,1640915275.0,1640935236.0,,,,,High,True,2021-12-31 01:47:55,2021-12-31 07:20:36,0.23
Bitpoint_1,True,True,True,1,2005,2002,2000,0,2,0,12378.420919897022,2002,1,2,1562847104.0,1571628977.0,,,,,High,True,2019-07-11 12:11:44,2019-10-21 03:36:17,101.64
PolyNetwork_1,True,True,True,1,1363,1842,1666,2,162,12,28969.305296329923,1277,31,85,1628508364.0,1757130755.0,,,,,High,True,2021-08-09 11:26:04,2025-09-06 03:52:35,1488.69
DragonEx,True,True,True,1,1646,1712,1570,0,142,0,5476.3995476580085,1605,39,28,1553364009.0,1571718123.0,,,,,High,True,2019-03-23 18:00:09,2019-10-22 04:22:03,212.43
？？？,True,True,True,1,131,1434,510,354,570,0,3653.7596563074226,24,108,69,1639375648.0,1759113575.0,,,,,High,True,2021-12-13 06:07:28,2025-09-29 02:39:35,1385.86
Kucoin,True,True,True,1,670,1226,246,0,979,1,23088.617984295823,279,123,357,1601059739.0,1759115807.0,,,,,High,True,2020-09-25 18:48:59,2025-09-29 03:16:47,1829.35
Euler_Finance_2023,True,True,True,2,467,1195,1060,45,89,1,88767.70445025472,421,38,19,1676163743.0,1757118551.0,2023.0,3.0,197.0,Euler Finance Flash Loan Attack,High,True,2023-02-12 01:02:23,2025-09-06 00:29:11,936.98
Easyfi,True,True,True,1,60,847,101,2,744,0,1143.4374611367114,34,43,8,1618819843.0,1644368874.0,,,,,Medium,True,2021-04-19 08:10:43,2022-02-09 01:07:54,295.71
Vulcan_Forged_2,True,True,True,1,17,662,236,144,281,1,1898.3543907648143,8,10,2,1639356544.0,1652438391.0,,,,,Medium,True,2021-12-13 00:49:04,2022-05-13 10:39:51,151.41
Bitmart,True,True,True,1,405,587,149,74,364,0,18333.928487091176,165,59,232,1638653469.0,1756609139.0,,,,,Medium,True,2021-12-04 21:31:09,2025-08-31 02:58:59,1365.23
Liquid_Exchange_1,True,True,True,1,601,577,107,0,470,0,33401.522387890276,278,56,320,1629316590.0,1758749171.0,,,,,Medium,True,2021-08-18 19:56:30,2025-09-24 21:26:11,1498.06
Cryptopia_3,True,True,True,1,190,566,239,0,327,0,314.3359644882917,29,154,115,1547386109.0,1695807839.0,,,,,Medium,True,2019-01-13 13:28:29,2023-09-27 09:43:59,1717.84
Bitmart_2,True,True,True,1,90,489,325,48,116,0,39255.23509829696,51,30,31,1638661535.0,1753534595.0,,,,,Medium,True,2021-12-04 23:45:35,2025-07-26 12:56:35,1329.55
Cream_Finance_Flash_Loan,True,True,True,1,149,485,213,17,250,5,7724.862305277436,57,102,84,1635340606.0,1672128263.0,,,,,Medium,True,2021-10-27 13:16:46,2022-12-27 08:04:23,425.78
Rari_Capital_Fei_2022,True,True,True,1,52,435,343,11,80,1,26500.0014,27,16,25,1651304127.0,1756589771.0,2022.0,4.0,80.0,Rari Capital Fuse Pool Exploit,Medium,True,2022-04-30 07:35:27,2025-08-30 21:36:11,1218.58
BNB_Bridge_2022,True,True,True,1,302,391,112,16,259,4,33772.15440207022,94,165,55,1665081335.0,1753323275.0,2022.0,10.0,570.0,BNB Chain Bridge Exploit,Medium,True,2022-10-06 18:35:35,2025-07-24 02:14:35,1021.32
THORChain_2,True,True,True,1,16,381,56,55,270,0,20315.890558359533,6,13,7,1626368344.0,1626676710.0,,,,,Medium,True,2021-07-15 16:59:04,2021-07-19 06:38:30,3.57
Alpha_Homora_V2,True,True,True,1,114,356,274,9,73,0,8178.200180111122,53,24,45,1613120153.0,1757761151.0,,,,,Medium,True,2021-02-12 08:55:53,2025-09-13 10:59:11,1674.09
AscendEX,True,True,True,1,105,356,149,7,200,0,2940.3858639985633,12,95,89,1639252352.0,1703990483.0,,,,,Medium,True,2021-12-11 19:52:32,2023-12-31 02:41:23,749.28
Wormhole_2022,True,True,True,1,169,353,226,8,117,2,110538.8589183351,106,21,58,1643814548.0,1757292359.0,2022.0,2.0,326.0,Wormhole Bridge Hack,Medium,True,2022-02-02 15:09:08,2025-09-08 00:45:59,1313.4
