address,incident_name,node_type,label,year,amount_stolen
0x26a76f4fe7a21160274d060acb209f515f35429c,0xhabitat.eth_Multisig_Drainer,hacker,0xhabitat.eth Multisig Drainer,,
0x56eb4a5f64fa21e13548b95109f42fa08a644628,AFKSystem,hacker,AFKSystem,,
0x6e1218c55f1acb588fc5e55b721f1183d7d29d3d,ATO_Stolen_Funds,hacker,ATO Stolen Funds,,
0x9f26ae5cd245bfeeb5926d61497550f79d9c6c1c,Akropolis_1,hacker,Akropolis Hacker 1,,
0x905315602ed9a854e325f692ff82f58799beab57,Alpha_Homora_V2,hacker,Alpha Homora V2 Exploiter,,
0x4d3c8a2b1e5f7c6d8e9f0a1c2b3d4e5f6a7c8b9d,Alphapo_2023,hacker,Alphapo Hot Wallet Breach Exploiter,2023.0,60.0
0x872254d530ae8983628cb1eaafc51f78d78c86d9,AnubisDAO_Liquidity_Rug_1,hacker,AnubisDAO Liquidity Rug 1,,
0x9fc53c75046900d1f58209f50f534852ae9f912a,AnubisDAO_Liquidity_Rug_2,hacker,AnubisDAO Liquidity Rug 2,,
0xb1302743acf31f567e9020810523f5030942e211,AnubisDAO_Liquidity_Rug_3,hacker,AnubisDAO Liquidity Rug 3,,
0x0ae1554860e51844b61ae20823ef1268c3949f7c,AnySwap_v3,hacker,AnySwap v3 Exploiter,,
0xe47e8cd58c8e95f765e642d7dcb898f622cefa83,Arthur0x,hacker,Arthur0x Wallet Hacker,,
0x2c6900b24221de2b4a45c8c89482fff96ffb7e55,AscendEX,hacker,AscendEX Hacker,,
0x73326b6764187b7176ed3c00109ddc1e6264eb8b,AscendEX_2,hacker,AscendEX Hacker 2,,
0x5f6c5c62e46c3e2d9c2f9a0c4b1e8d3c7a9e8c2d,Atomic_Wallet_2023,hacker,Atomic Wallet Mass Compromise Exploiter,2023.0,100.0
0xf80f6fa4ccb6550c9dc58d58d51fb0928f9b323c,BELLE_Honeypot_Rug_Pull,hacker,BELLE Honeypot Rug Pull,,
0x489a8756c18c0b8b24ec2a2b9ff3d4d447f79bec,BNB_Bridge_2022,hacker,BNB Chain Bridge Exploit Exploiter,2022.0,570.0
0x1fcdb04d0c5364fbd92c73ca8af9baa72c269107,BadgerDAO,hacker,BadgerDAO Exploiter,,
0xbceaa0040764009fdcff407e82ad1f06465fd2c4,Bancor,hacker,Bancor Hacker,,
0x1c5dcdd006ea78a7e4783f9e6021c32935a10fb4,Beanstalk_2022,hacker,Beanstalk Governance Attack Exploiter,2022.0,182.0
0xd23cfffa066f81c7640e3f0dc8bb2958f7686d1f,Bent_Finance,hacker,Bent Finance Exploiter,,
0x9e966a54082427d7ac56aeaee4baae7d11a6e468,Bent_Finance_2,hacker,Bent Finance Exploiter 2,,
0x71b1ee098dbe801ce7d42a4bdb472ed164f1c21a,Bent_Finance_3,hacker,Bent Finance Exploiter 3,,
0x9e8d7c6b5a4f3e2d1c0b9a8f7e6d5c4b3a2e1f0d,BingX_2024,hacker,BingX Hot Wallet Compromise Exploiter,2024.0,52.0
0x39fb0dcd13945b835d47410ae0de7181d3edf270,Bitmart,hacker,Bitmart Hacker,,
0x4bb7d80282f5e0616705d7f832acfc59f89f7091,Bitmart_2,hacker,Bitmart Hacker 2,,
0x68b22215ff74e3606bd5e6c1de8c79e67c4a4b91,Bitmart_December_2022,hacker,Bitmart Hot Wallet Breach Exploiter,2022.0,196.0
0x0e57edba0fccb1e388926193c873120cab961fee,Bitpoint_1,hacker,Bitpoint Hacker 1,,
0x1503b6cb665fea9a128a56244df392e950593486,Bitpoint_2,hacker,Bitpoint Hacker 2,,
0xc433d50dd0614c81ee314289ec82aa63710d25e8,Bondly_Finance,hacker,Bondly Finance Exploiter,,
0x32a3e2c6b4d5a1c9e7f8b0a6c3d5e2f8a7c9b6d4,BonqDAO_2023,hacker,BonqDAO Oracle Manipulation Exploiter,2023.0,120.0
0x6b0b61323f6d77ef8a1a35d11fa877631d8f67bb,Brinc_Finance,hacker,Brinc Finance Exploiter,,
0x3c9f8e5d7b6a4c3d2e1f0c9d8e7b6a5c4d3e2f1a,BtcTurk_2024,hacker,BtcTurk Hot Wallet Breach Exploiter,2024.0,55.0
