incident_name,hacker_address,tx_type,hash,blockNumber,timeStamp,from,to,value,gas,gasPrice,gasUsed,methodId,functionName,contractAddress,tokenName,tokenSymbol,tokenDecimal,tokenID
？？？,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal,0x83f742059310da8c8ebdc3c439c8f0a076132b9ccce87b09d76821c25351991f,13795158,1639376319,0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,62481285995575507979,21000,47436438480,21000,0x,,,,,,
？？？,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal,0x993a40af0703eeba27b3a2d1b4be98001ba9dc522cfbc2e7fc27744950b3ea2f,13795176,1639376455,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,1000000000000000000,21000,40546841798,21000,0x,,,,,,
？？？,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal,0xe60545915bad8be0cc6e5a8b0ac4d56c2be2454253b6795002ed7aa5ddb74250,13795199,1639376732,0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,0,21000,46800534756,21000,0x,,,,,,
？？？,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal,0x9afbfd842f34dd1dd08eff334a8641b5bf8835ea62b0bf9be7353fa6b8a37877,13798857,1639424717,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,0x0ae055097c6d159879521c384f1d2123d1f195e6,0,60567,144082011871,46236,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
？？？,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal,0xae3e0a02ef71360b405b2b24e5966352a1f476dad88aae7a3def1cdffb6b126b,13798857,1639424717,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,0x1111111254fb6c44bac0bed2854e76f90643097d,0,483561,144082011871,326206,0x7c025200,0x7c025200(),,,,,
？？？,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal,0x56ed9538f5b9710e161fe556c1e13efca3e8e46803b4ac9fa46ab56d8f5ec33b,13798864,1639424814,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0,61226,149871886171,46886,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
？？？,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal,0xbe42d5e7a4f41a89ab61110a9a1cc6756cdd17b601598c10830f84e71652fe62,13799768,1639436818,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,0,59940,90940154123,46064,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
？？？,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal,0x9c2a058430afe8d194367739aeca77683ed611911fb53e5b5858e4fb3cb24cd2,13799768,1639436818,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,0x111111111117dc0aa78b770fa6a738034120c302,0,60100,90919743801,46181,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
？？？,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal,0x119ee462894b29c300f5b8a89c7ac8e05453129486ebdc8535991d736e283eca,13799768,1639436818,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,0x1111111254fb6c44bac0bed2854e76f90643097d,0,420934,90919743801,219014,0x7c025200,0x7c025200(),,,,,
？？？,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal,0xb7a7107fd3d45cdf337b77b7ea3c03bff65e15c08fbe30c10b59e3247eaf619a,13799775,1639436929,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,0x4e15361fd6b4bb609fa63c81a2be19d873717870,0,60004,107909764240,46133,0x095ea7b3,"approve(address _spender, uint256 _value)",,,,,
